,ANN,ANNdetrended,SDNN,MedianNN,MedianNNdetrended,RangeNN,rMMSD,SDSD,NN50,pNN50,avgHR,Percentile10NN,Percentile10NNdetrended,Percentile25NN,Percentile25NNdetrended,Percentile75NN,Percentile75NNdetrended,Percentile90NN,Percentile90NNdetrended,IQR,MinMaxNNdiff,MeanAbsDiffNN,MeanAbsDiffNNdetrend,MeanAbsDeviationNN,MeanAbsDeviationNNdetrended,MedianAbsDeviationNN,MedianAbsDeviationNNdetrended,VLF_RAW,VLF_NU,LF_RAW,LF_NU,HF_RAW,HF_NU,TOT_RAW,LFHF_RATIO,VLF_NU_LOG,LF_NU_LOG,HF_NU_LOG,LFHF_RATIO_LOG,VLF_PEAK,LF_PEAK,HF_PEAK,VLF_RAW_BA,VLF_NU_BA,LF_RAW_BA,LF_NU_BA,HF_RAW_BA,HF_NU_BA,TOT_RAW_BA,LFHF_RATIO_BA,VLF_NU_LOG_BA,LF_NU_LOG_BA,HF_NU_LOG_BA,LFHF_RATIO_LOG_BA,DFAalpha1,DFAalpha2,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,Labels
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
22,0.8529678362573095,-1.1946259446258994e-16,0.04162437273131169,0.845,-0.005726061943015781,0.3749999999999999,0.0020554549050624303,0.026811487719404715,30.0,0.08771929824561403,51.19835423197489,0.815,-0.04124213795205806,0.825,-0.02667670782878173,0.875,0.023943033816911985,0.91,0.050377979056004676,0.050000000000000044,0.3749999999999999,0.04399024197836943,0.043249582851927725,0.03071714373653424,0.03011589423027609,0.020000000000000018,0.02349271272021697,0.00676041050667517,0.037582069039186254,0.020364990026095726,0.11321183238611927,0.15951894610382283,0.8867881676138807,0.18664434663659374,0.12766502364453425,0.03689307268263583,0.10724937977778728,0.6348760012687472,0.12014914411893701,0.03662109375,0.0732421875,0.390625,0.002169521842809213,0.016266909510992827,0.02124700267880619,0.15930840756525005,0.11212325067774546,0.84069159243475,0.13553977519936086,0.18949684878359804,0.01613602086666281,0.14782362694537296,0.6101413664548382,0.1735304015632493,0.8922887896524951,0.8056813094564668,1.7187502562334789,1.7514952237645451,1.8575726877976269,1.5290786989816914,1.7635885922613586,1.5916332878005937,1.6386370671263628,1.4806571225681757,1.7016083722337576,1.580450375560848,Wake
23,0.8477405247813409,-2.2301564547135067e-16,0.04026861222736581,0.845,-0.004555631484977507,0.3749999999999999,0.0020019633159550137,0.0265305965644113,30.0,0.08746355685131195,50.8871593923318,0.81,-0.04113284189353328,0.825,-0.024793733785698463,0.865,0.023625879185386167,0.901,0.04780044826113678,0.040000000000000036,0.3749999999999999,0.04241283480812334,0.04169304267530873,0.029177383573171057,0.028817382659860953,0.020000000000000018,0.022295134787609694,0.009859628642496477,0.03327497610047547,0.059015730375833284,0.1991704849150112,0.23729187966496224,0.8008295150849888,0.306167238683292,0.24870522522371574,0.032733346486757374,0.1816300551909973,0.5882474004610715,0.22210719466109205,0.03662109375,0.146484375,0.3173828125,0.02703264006406549,0.14343316617265384,0.074231418579972,0.3938663545691322,0.11423712593730985,0.606133645430868,0.21550118458134732,0.6498011742759366,0.13403528604997608,0.3320814358407009,0.4738298283953266,0.5006547802129018,0.8765990904349341,0.7147389777771977,1.6774446877953915,1.7072503276816267,1.7892181717993825,1.5910887737659039,1.5225874235471424,1.6720515051620872,1.5536743379156464,1.5957077196221983,1.6739764335716716,1.3945931639345857,Wake
24,0.8474273255813954,3.240302083499003e-16,0.04005274158254994,0.84,-0.0049736349111358935,0.3749999999999999,0.0020182530291820958,0.026674106105133814,34.0,0.09883720930232558,50.864980708946234,0.81,-0.03522982545611027,0.825,-0.024705744604644975,0.865,0.019526928133668964,0.9,0.05152223805888135,0.040000000000000036,0.3749999999999999,0.04212480507154154,0.04219357343012262,0.028944615332612233,0.029012227530327027,0.020000000000000018,0.021388576086219524,0.007044938254699139,0.023145843216689718,0.06595686466974462,0.2166984568944993,0.23841477514242096,0.7833015431055007,0.31141657806686474,0.27664755521273465,0.022882041047362474,0.19614100753931815,0.5784664457849343,0.24423754460513872,0.03662109375,0.146484375,0.25634765625,0.02307542454362003,0.11609433540279214,0.08495206003255101,0.42740071507390376,0.11381237118245426,0.5725992849260961,0.2218398557586253,0.7464220202948161,0.10983539031748323,0.3558551085172263,0.4527298458671097,0.5575691351381542,0.9380198531393346,0.35826403066393575,1.6768149881843786,1.7437390292787946,1.776418029864717,1.5991945450193392,1.5939337258981352,1.438289656238271,1.8061482066801544,1.6044253706105562,1.5976034547870976,1.6894806201076369,S1
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wake
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1
41,0.8634124629080114,-9.389126469381888e-17,0.042977903640783896,0.86,-0.003988464172212325,0.33999999999999986,0.0020688805654792354,0.023252342240885713,32.0,0.09495548961424333,51.833150470219394,0.815,-0.047848195002897255,0.835,-0.028860463891278887,0.8862500000000001,0.023294871429073022,0.9200000000000002,0.05686913771004156,0.05125000000000013,0.33999999999999986,0.04706655362442679,0.04707770790446827,0.033171992357069253,0.03315448885673396,0.025000000000000022,0.026077335697856197,0.02049465751593916,0.12144964365401714,0.05867342304872711,0.3476938473203251,0.11007682519674201,0.6523061526796748,0.1892449057614083,0.5330224862850031,0.11462217308196987,0.2983948704641055,0.5021719803740271,0.42724126793931094,0.01220703125,0.048828125,0.15869140625,0.013685240173747535,0.08698905065567682,0.05246953319776907,0.33351806934131284,0.10485187760733262,0.6664819306586871,0.17100665097884923,0.5004157712298297,0.0834115350944818,0.2878206148603229,0.5107147760178183,0.40574225052054436,0.6912736154457925,0.3111688090012034,1.9125934854081106,1.9708576794360784,1.8156649900816093,1.566574208002318,1.7723413833709536,1.6264354888026715,1.826850789039325,1.4737062988999754,1.4537356419154233,1.575536360758419,S1
42,0.8543695014662758,-7.358076350888134e-17,0.06378478158010202,0.855,-0.001161367494983856,0.69,0.0028062045073415903,0.039901609318007875,37.0,0.10850439882697947,51.381480588377144,0.81,-0.04715708942011756,0.83,-0.024723568451921724,0.885,0.029600664590577613,0.92,0.06605141043915647,0.05500000000000005,0.69,0.058805934103863956,0.05931144177615252,0.039312957404907076,0.03975211579784993,0.030000000000000027,0.027767801857585095,0.012340133802310822,0.1016271383324903,0.03884304967892586,0.31989182987924963,0.08258252625275092,0.6801081701207503,0.1337657097339876,0.4703543405785791,0.09678830350693968,0.2775497861792611,0.5188581783190522,0.3855034197558793,0.03662109375,0.146484375,0.18310546875,0.029015445421491225,0.36234458028108046,0.03978631216184371,0.4968510519758338,0.04029062840943008,0.5031489480241662,0.10909238599276501,0.9874830384261681,0.30920717153036675,0.4033636028091352,0.40756220634252294,0.6868690333847356,0.9397035750444345,0.464236195882773,1.4141670421696613,1.5527261598090518,1.5012957538143974,1.2855181418840074,1.3727806419531678,1.4033887944791907,1.4414136603409702,1.1021521153732337,1.2264456601779945,1.1706656063081673,Wake
43,0.8422334293948128,-9.918418951982667e-17,0.07204875701853744,0.85,0.003957647744067705,0.69,0.0027612124443534072,0.03981706093236643,39.0,0.11239193083573487,50.723624995693974,0.77,-0.0682019025802186,0.82,-0.028965212082952663,0.88,0.036159878459347594,0.9200000000000002,0.07228196006775799,0.06000000000000005,0.69,0.070194566140845,0.06893890774132654,0.0466515792008903,0.046145347577573124,0.030000000000000027,0.032872116647777894,0.043500573942722554,0.17363602302579972,0.12096168634080959,0.4828282537689628,0.12956567074026695,0.5171717462310372,0.2940279310237991,0.9335936413534625,0.16010664184199716,0.3939512464485997,0.41684790834905733,0.6593802619002098,0.01220703125,0.048828125,0.15869140625,0.02906413342469889,0.12241765424098185,0.10876426894872586,0.45811332047572384,0.12865355779287713,0.541886679524276,0.2664819601663019,0.845404284301476,0.11548497869255517,0.37714335380055075,0.43300678315680036,0.6126983777709142,0.996507438509639,0.6665952744825694,1.4124857592110889,1.5469676443605882,1.3585805225523748,1.2149018748581262,1.3489826526825333,1.271631452799751,1.269518882223807,1.0835176624456249,1.0858732628906798,1.110660627184284,Wake
